name,platform_id,url,total_review_count,address,id,image_url,lat,lng,score
Halal Cart,V_s192GXiLD9Zmboyykllg,https://www.yelp.com/biz/halal-cart-new-york-36?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,19.0,"Richmond Ave NE,New York, NY 10312",5883,https://s3-media2.fl.yelpcdn.com/bphoto/BhXdDtiNmNiQHfpYUQ9NmQ/o.jpg,40.5602,-74.1697,2
Zara Cafe Grill,9XuL2AQt4AKMXEBbSsU75A,https://www.yelp.com/biz/zara-cafe-grill-staten-island-2?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,133.0,"1995 Hylan Blvd,Staten Island, NY 10306",5886,https://s3-media3.fl.yelpcdn.com/bphoto/3y5J-y5QYPN0r_5gamTSgg/o.jpg,40.5815,-74.0984,3
Dominique Ansel Bakery,ga6sRtE0l85iftw_5-W84Q,https://www.yelp.com/biz/dominique-ansel-bakery-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,4483.0,"189 Spring St,New York, NY 10012",5914,https://s3-media2.fl.yelpcdn.com/bphoto/HW3Yn47ELXkFc6ZEkc3WIg/o.jpg,40.7252,-74.0029,4
deep indian kitchen - indikitch,wm10mMj_41_-l_gRhRH3TA,https://www.yelp.com/biz/deep-indian-kitchen-indikitch-new-york-21?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,446.0,"940 8th Ave,New York, NY 10019",5900,https://s3-media2.fl.yelpcdn.com/bphoto/hSlzfkZnzZB-yJDt6BNaQg/o.jpg,40.7657,-73.9834,5
la Mian Lounge,FvsFSGzbmV56gqtYY4ZfQQ,https://www.yelp.com/biz/la-mian-lounge-astoria?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,41.0,"25-12 Broadway,Astoria, NY 11106",5901,https://s3-media2.fl.yelpcdn.com/bphoto/Z3AssTr5E6zCADH9johlSA/o.jpg,40.7631,-73.9279,3
King Souvlaki,7KN1q3ssjWoEnT_ggW09IA,https://www.yelp.com/biz/king-souvlaki-astoria-2?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,281.0,"31 St And 31 Ave,Astoria, NY 11106",5904,https://s3-media1.fl.yelpcdn.com/bphoto/jrCWyDuYsoOVFfDfXd6w2A/o.jpg,40.7643,-73.9235,2
Boishakhi Restaurant,GVaTZnN7a-DkrK57l7BbGw,https://www.yelp.com/biz/boishakhi-restaurant-astoria-2?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,79.0,"2914 36th Ave,Astoria, NY 11106",5905,https://s3-media1.fl.yelpcdn.com/bphoto/3gYtX2_5Omry6nc-OYCVXg/o.jpg,40.757,-73.931,2
Famous Halal,O6ZvBSi7HxTsAYAcADwiPA,https://www.yelp.com/biz/famous-halal-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,9.0,"45th St & 10th Ave,New York, NY 10036",5906,https://s3-media2.fl.yelpcdn.com/bphoto/7U6wkDaxPz9vS2g3-Aa4Ww/o.jpg,40.7617,-73.9943,1
Kwik Gourmet,Rr55bXbJcfdm4lIf-1f0Qw,https://www.yelp.com/biz/kwik-gourmet-new-york-3?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,247.0,"250 Park Ave E 47th St,New York, NY 10177",5907,https://s3-media2.fl.yelpcdn.com/bphoto/nM7gtL8nzxuMf58rXUmg6w/o.jpg,40.7533,-73.9711,2
Hooda Halal Cart,yKATD2zGYGZNwQTheEIayw,https://www.yelp.com/biz/hooda-halal-cart-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,25.0,"115th & Broadway,Morningside Heights,New York, NY 10027",5910,https://s3-media2.fl.yelpcdn.com/bphoto/qWM_gB9NiKdmcNgCD0iB-A/o.jpg,40.8075,-73.9646,2
Halal For All,yfwIccxewNiOOvezIfX2PQ,https://www.yelp.com/biz/halal-for-all-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,18.0,"52ND St And 6th Ave SW,New York, NY 10019",5957,https://s3-media4.fl.yelpcdn.com/bphoto/cd6cf8I9BT3A_9lBtFyGXw/o.jpg,40.7619,-73.9812,2
Halal Cart,CwvsvKVc-mjSCc3bUsFv9g,https://www.yelp.com/biz/halal-cart-new-york-34?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,3.0,"111th Street & Broadway,New York, NY 10025",5958,https://s3-media2.fl.yelpcdn.com/bphoto/q2na-aBv7KK2sSXcmROWYw/o.jpg,40.8049,-73.9663,2
